customer_id,signup_date,reference_date,tenure_months,contract_type,plan_type,monthly_charge,auto_pay,has_discount,num_logins_30d,total_usage_30d_min,avg_session_length_min,days_since_last_login,recent_activity_flag,support_tickets_90d,failed_payments_90d,churn_prob,churn,churn_reason
18,2023-07-01,2025-11-15,28,Monthly,Premium,1143,0,0,12,76,6.3,16,0,1,0,0.197,1,found_alternative
19,2023-01-13,2025-11-15,34,Monthly,Standard,589,1,0,6,186,31.0,11,0,0,0,0.038,0,
20,2022-05-01,2025-11-15,43,Monthly,Basic,425,1,0,10,427,42.7,10,0,0,0,0.185,1,found_alternative
21,2023-12-07,2025-11-15,23,Monthly,Basic,353,1,1,2,30,15.0,25,0,0,0,0.01,0,
22,2021-07-28,2025-11-15,52,Monthly,Basic,245,1,0,7,96,13.7,26,0,2,0,0.104,0,
23,2022-05-03,2025-11-15,43,Annual,Basic,224,1,0,8,102,12.8,1,0,1,0,0.144,0,
24,2022-09-15,2025-11-15,38,Monthly,Standard,558,1,0,6,103,17.2,26,0,0,0,0.116,0,
25,2023-02-26,2025-11-15,33,Quarterly,Standard,541,0,0,11,382,34.7,11,0,0,0,0.159,0,
26,2024-10-18,2025-11-15,13,Monthly,Basic,318,1,0,6,232,38.7,9,0,0,0,0.13,0,
27,2021-11-15,2025-11-15,48,Annual,Basic,306,1,0,6,205,34.2,14,0,1,0,0.053,0,
28,2023-06-12,2025-11-15,29,Annual,Basic,322,1,0,5,86,17.2,7,0,0,0,0.075,0,
29,2023-11-02,2025-11-15,24,Quarterly,Basic,233,1,0,10,311,31.1,1,0,0,1,0.334,1,poor_support
30,2021-02-08,2025-11-15,58,Quarterly,Basic,295,1,0,15,437,29.1,0,0,0,0,0.114,0,
31,2023-11-29,2025-11-15,23,Monthly,Standard,436,1,0,9,221,24.6,24,0,2,0,0.051,0,
32,2021-09-23,2025-11-15,50,Annual,Basic,311,1,1,6,154,25.7,3,0,0,0,0.08,0,
33,2021-03-14,2025-11-15,56,Annual,Standard,694,1,0,10,260,26.0,19,0,0,0,0.042,0,
34,2025-08-13,2025-11-15,3,Annual,Basic,187,1,0,13,159,12.2,4,0,1,0,0.096,0,
35,2025-09-13,2025-11-15,2,Quarterly,Basic,338,0,1,8,336,42.0,11,0,0,0,0.079,1,lack_of_value
36,2024-11-30,2025-11-15,11,Monthly,Standard,552,1,0,6,190,31.7,23,0,0,0,0.011,0,
37,2022-05-25,2025-11-15,42,Annual,Standard,664,1,0,12,490,40.8,13,0,0,0,0.19,0,
38,2021-05-13,2025-11-15,54,Monthly,Basic,312,1,0,6,103,17.2,24,0,0,0,0.147,0,
39,2024-04-17,2025-11-15,19,Monthly,Premium,1232,0,0,11,236,21.5,16,0,0,0,0.23,0,
40,2023-01-28,2025-11-15,34,Monthly,Basic,305,1,0,10,186,18.6,18,0,0,0,0.167,0,
41,2021-06-26,2025-11-15,53,Annual,Basic,406,1,0,3,117,39.0,10,0,1,0,0.082,0,
42,2023-05-08,2025-11-15,30,Monthly,Standard,627,1,0,5,142,28.4,6,0,0,0,0.083,0,
43,2021-01-17,2025-11-15,58,Monthly,Standard,544,1,0,9,128,14.2,25,0,1,0,0.161,0,
44,2025-06-02,2025-11-15,5,Monthly,Basic,307,1,0,10,253,25.3,0,0,1,1,0.413,0,
45,2022-03-03,2025-11-15,45,Quarterly,Basic,271,1,1,8,216,27.0,16,0,0,0,0.087,1,price
46,2024-03-09,2025-11-15,20,Quarterly,Premium,1212,1,0,11,431,39.2,4,0,0,0,0.136,0,
47,2022-06-07,2025-11-15,41,Monthly,Basic,267,1,0,6,93,15.5,6,0,0,0,0.239,0,
48,2023-06-23,2025-11-15,29,Monthly,Basic,246,1,0,7,110,15.7,2,0,1,0,0.094,0,
49,2023-08-10,2025-11-15,27,Quarterly,Standard,615,1,0,9,96,10.7,3,0,1,0,0.078,0,
50,2021-10-19,2025-11-15,49,Annual,Premium,1204,1,0,12,127,10.6,28,0,0,0,0.175,0,
51,2025-09-20,2025-11-15,1,Quarterly,Basic,385,1,0,7,63,9.0,21,0,1,0,0.291,1,payment_issues
52,2024-09-30,2025-11-15,13,Monthly,Standard,567,0,0,12,71,5.9,28,0,0,0,0.168,0,
53,2025-07-27,2025-11-15,3,Annual,Standard,442,1,0,6,83,13.8,22,0,0,0,0.016,0,
54,2025-05-07,2025-11-15,6,Monthly,Standard,571,1,0,9,137,15.2,14,0,1,0,0.158,1,poor_support
55,2023-11-12,2025-11-15,24,Monthly,Standard,470,1,0,3,83,27.7,24,0,0,1,0.414,0,
56,2025-06-25,2025-11-15,4,Monthly,Premium,1233,1,0,13,201,15.5,25,0,0,0,0.084,0,
57,2021-04-26,2025-11-15,55,Monthly,Basic,167,1,0,7,294,42.0,3,0,1,0,0.165,0,
58,2021-11-08,2025-11-15,48,Quarterly,Basic,221,1,0,8,54,6.8,5,0,0,0,0.062,0,
59,2021-02-06,2025-11-15,58,Monthly,Premium,1172,0,0,14,308,22.0,23,0,0,0,0.218,1,payment_issues
60,2022-07-02,2025-11-15,41,Monthly,Standard,723,1,0,6,71,11.8,15,0,0,0,0.17,1,found_alternative
61,2022-10-26,2025-11-15,37,Monthly,Standard,515,0,0,8,54,6.8,6,0,1,0,0.186,0,
62,2022-03-26,2025-11-15,44,Monthly,Standard,600,0,0,5,101,20.2,21,0,1,0,0.264,0,
63,2025-01-06,2025-11-15,10,Monthly,Standard,646,1,0,8,255,31.9,18,0,0,0,0.08,0,
64,2022-08-29,2025-11-15,39,Monthly,Standard,718,0,0,3,123,41.0,12,0,0,0,0.277,0,
65,2022-04-12,2025-11-15,43,Monthly,Premium,1262,1,0,13,82,6.3,24,0,1,0,0.094,0,
66,2023-08-03,2025-11-15,27,Quarterly,Standard,687,1,0,10,372,37.2,24,0,0,0,0.01,0,
67,2021-07-31,2025-11-15,52,Quarterly,Basic,369,1,0,12,132,11.0,27,0,1,0,0.153,0,
68,2024-11-19,2025-11-15,12,Quarterly,Standard,504,1,0,6,120,20.0,19,0,1,1,0.35,1,found_alternative
69,2021-04-01,2025-11-15,56,Monthly,Standard,628,0,0,8,247,30.9,16,0,0,0,0.277,0,
70,2025-10-22,2025-11-15,0,Annual,Standard,667,1,0,5,81,16.2,23,0,1,0,0.249,0,
71,2024-09-25,2025-11-15,13,Annual,Standard,524,1,0,5,206,41.2,5,0,2,0,0.052,0,
72,2021-11-13,2025-11-15,48,Quarterly,Basic,254,1,0,7,185,26.4,24,0,0,0,0.177,1,other
73,2020-11-26,2025-11-15,60,Quarterly,Standard,536,0,0,6,179,29.8,12,0,0,0,0.288,0,
74,2024-12-13,2025-11-15,11,Monthly,Standard,661,1,0,10,122,12.2,19,0,0,0,0.164,0,
75,2024-05-29,2025-11-15,17,Annual,Standard,595,0,0,10,227,22.7,6,0,0,0,0.164,1,lack_of_value
76,2024-07-08,2025-11-15,16,Monthly,Standard,575,1,0,10,50,5.0,13,0,0,0,0.073,0,
77,2024-09-23,2025-11-15,13,Monthly,Basic,198,1,0,10,251,25.1,4,0,1,0,0.01,0,
78,2021-03-31,2025-11-15,56,Monthly,Standard,595,1,1,13,322,24.8,27,0,0,0,0.063,0,
79,2022-09-01,2025-11-15,39,Monthly,Standard,555,1,1,7,144,20.6,8,0,1,0,0.144,1,poor_support
80,2021-06-15,2025-11-15,53,Annual,Standard,619,0,0,7,201,28.7,14,0,0,0,0.127,0,
81,2025-03-10,2025-11-15,8,Monthly,Standard,509,1,1,7,244,34.9,1,0,0,0,0.01,0,
82,2023-12-28,2025-11-15,22,Monthly,Standard,614,1,0,11,79,7.2,20,0,1,0,0.021,0,
83,2022-07-12,2025-11-15,40,Quarterly,Basic,265,0,0,10,159,15.9,26,0,1,0,0.195,0,
84,2021-03-11,2025-11-15,57,Monthly,Standard,501,1,0,10,110,11.0,22,0,3,0,0.364,0,
85,2022-06-06,2025-11-15,41,Monthly,Basic,194,1,1,14,217,15.5,22,0,0,0,0.066,0,
86,2022-07-02,2025-11-15,41,Quarterly,Standard,506,1,0,6,68,11.3,4,0,0,0,0.162,0,
87,2024-07-09,2025-11-15,16,Quarterly,Basic,284,1,0,6,222,37.0,4,0,1,1,0.333,1,poor_support
88,2024-01-23,2025-11-15,22,Monthly,Basic,309,1,0,3,22,7.3,14,0,0,0,0.146,0,
89,2025-04-23,2025-11-15,6,Quarterly,Standard,621,1,0,8,79,9.9,14,0,2,0,0.052,0,
90,2023-03-27,2025-11-15,32,Monthly,Standard,624,0,0,7,203,29.0,25,0,0,0,0.204,1,other
91,2021-06-22,2025-11-15,53,Monthly,Standard,540,0,0,3,134,44.7,22,0,0,0,0.225,0,
92,2024-06-09,2025-11-15,17,Monthly,Standard,684,1,0,6,250,41.7,29,0,2,0,0.11,0,
93,2024-09-04,2025-11-15,14,Monthly,Standard,565,0,0,6,177,29.5,0,0,0,0,0.204,0,
94,2023-09-06,2025-11-15,26,Quarterly,Standard,636,1,0,5,104,20.8,5,0,1,0,0.066,0,
95,2024-09-23,2025-11-15,13,Quarterly,Standard,587,1,0,8,163,20.4,29,0,0,0,0.025,0,
96,2023-05-06,2025-11-15,30,Monthly,Standard,630,1,0,5,198,39.6,0,0,2,0,0.027,0,
97,2023-06-27,2025-11-15,29,Monthly,Standard,583,1,0,3,19,6.3,23,0,1,0,0.118,0,
98,2023-01-05,2025-11-15,34,Quarterly,Standard,631,1,0,4,66,16.5,22,0,0,0,0.066,0,
99,2021-01-01,2025-11-15,59,Monthly,Premium,1200,0,1,9,95,10.6,18,0,0,0,0.191,0,
100,2021-05-31,2025-11-15,54,Monthly,Basic,365,1,1,6,78,13.0,16,0,1,0,0.078,0,
101,2021-01-12,2025-11-15,58,Annual,Premium,1135,1,0,15,122,8.1,3,0,0,0,0.169,0,
102,2024-01-21,2025-11-15,22,Quarterly,Basic,159,0,0,6,91,15.2,11,0,1,0,0.131,0,
103,2022-06-12,2025-11-15,41,Annual,Basic,223,1,0,11,161,14.6,18,0,1,0,0.109,0,
104,2023-06-02,2025-11-15,29,Monthly,Basic,385,0,0,7,107,15.3,28,0,0,0,0.276,0,
105,2025-05-30,2025-11-15,5,Quarterly,Standard,588,1,0,10,139,13.9,1,0,2,0,0.054,0,
106,2022-02-13,2025-11-15,45,Monthly,Basic,307,1,0,10,139,13.9,28,0,0,1,0.575,0,
107,2022-12-04,2025-11-15,35,Monthly,Premium,1116,1,1,14,527,37.6,18,0,3,0,0.324,1,found_alternative
108,2024-08-25,2025-11-15,14,Monthly,Standard,605,0,0,6,205,34.2,24,0,2,0,0.256,0,
109,2022-01-07,2025-11-15,46,Monthly,Standard,519,0,0,9,291,32.3,10,0,0,0,0.222,1,poor_support
110,2021-04-05,2025-11-15,56,Monthly,Standard,530,1,0,7,101,14.4,22,0,0,0,0.113,0,
111,2022-04-28,2025-11-15,43,Monthly,Premium,1168,1,0,12,347,28.9,20,0,2,0,0.097,1,poor_support
112,2021-09-06,2025-11-15,51,Monthly,Standard,635,1,0,8,279,34.9,7,0,0,0,0.166,0,
113,2025-07-09,2025-11-15,4,Quarterly,Standard,644,1,1,8,107,13.4,26,0,1,0,0.067,1,found_alternative
114,2024-11-29,2025-11-15,11,Monthly,Standard,646,1,0,10,217,21.7,26,0,3,0,0.381,1,payment_issues
115,2024-01-15,2025-11-15,22,Monthly,Standard,473,1,0,7,195,27.9,20,0,1,0,0.06,0,
116,2025-03-25,2025-11-15,7,Monthly,Standard,600,1,0,5,75,15.0,24,0,0,0,0.068,0,
117,2024-11-21,2025-11-15,11,Monthly,Basic,285,0,0,11,375,34.1,17,0,0,0,0.232,1,found_alternative
118,2021-10-22,2025-11-15,49,Quarterly,Standard,478,0,0,5,141,28.2,5,0,1,0,0.18,0,
119,2025-05-02,2025-11-15,6,Monthly,Basic,301,0,0,4,68,17.0,6,0,0,0,0.182,0,
120,2023-07-28,2025-11-15,28,Quarterly,Basic,280,1,0,5,97,19.4,18,0,0,0,0.07,0,
121,2024-11-28,2025-11-15,11,Monthly,Standard,640,0,0,13,255,19.6,7,0,0,0,0.122,0,
122,2025-05-09,2025-11-15,6,Monthly,Premium,1206,1,0,14,333,23.8,10,0,2,0,0.141,0,
123,2022-06-19,2025-11-15,41,Annual,Premium,1157,1,0,11,294,26.7,1,0,0,0,0.166,0,
124,2021-06-04,2025-11-15,54,Quarterly,Standard,674,1,1,10,241,24.1,21,0,0,0,0.031,0,
125,2022-01-05,2025-11-15,47,Monthly,Standard,423,1,0,9,99,11.0,13,0,2,0,0.116,0,
126,2023-01-04,2025-11-15,34,Quarterly,Basic,295,1,0,12,379,31.6,11,0,1,0,0.01,0,
127,2024-12-17,2025-11-15,11,Monthly,Standard,459,1,0,8,73,9.1,1,0,0,0,0.067,0,
128,2025-03-05,2025-11-15,8,Quarterly,Basic,228,1,0,9,105,11.7,9,0,0,0,0.01,0,
129,2020-11-28,2025-11-15,60,Quarterly,Basic,341,1,0,9,280,31.1,20,0,0,0,0.126,0,
130,2023-06-06,2025-11-15,29,Quarterly,Standard,499,1,0,10,229,22.9,7,0,1,0,0.038,0,
131,2022-12-17,2025-11-15,35,Annual,Basic,187,0,1,5,139,27.8,4,0,1,0,0.01,0,
132,2021-12-26,2025-11-15,47,Monthly,Basic,490,1,1,11,176,16.0,27,0,0,0,0.048,0,
133,2021-06-22,2025-11-15,53,Quarterly,Standard,492,1,0,9,69,7.7,10,0,0,0,0.118,0,
134,2022-07-25,2025-11-15,40,Monthly,Basic,432,1,0,7,298,42.6,26,0,1,0,0.227,0,
135,2025-08-02,2025-11-15,3,Monthly,Basic,287,1,0,11,283,25.7,16,0,0,0,0.137,1,other
136,2022-06-28,2025-11-15,41,Monthly,Basic,259,1,0,5,116,23.2,14,0,1,1,0.438,1,other
137,2023-06-20,2025-11-15,29,Monthly,Basic,345,1,0,5,211,42.2,7,0,0,0,0.077,0,
138,2024-05-22,2025-11-15,18,Quarterly,Basic,406,0,0,9,399,44.3,23,0,0,0,0.101,1,payment_issues
139,2022-09-10,2025-11-15,38,Monthly,Standard,509,1,0,9,64,7.1,4,0,0,0,0.212,0,
140,2025-09-24,2025-11-15,1,Monthly,Basic,260,1,0,3,53,17.7,8,0,0,0,0.41,1,payment_issues
141,2025-09-07,2025-11-15,2,Monthly,Standard,667,1,1,5,152,30.4,17,0,2,0,0.043,0,
142,2022-02-18,2025-11-15,45,Monthly,Basic,323,1,0,9,366,40.7,11,0,2,0,0.182,0,
143,2023-05-12,2025-11-15,30,Annual,Standard,688,0,0,13,369,28.4,1,0,0,0,0.099,0,
144,2022-05-19,2025-11-15,42,Monthly,Standard,641,1,0,5,221,44.2,13,0,0,0,0.145,0,
145,2022-04-19,2025-11-15,43,Quarterly,Standard,744,1,0,7,225,32.1,28,0,1,0,0.096,0,
146,2021-01-22,2025-11-15,58,Quarterly,Standard,614,1,0,11,59,5.4,3,0,0,0,0.091,0,
147,2023-12-03,2025-11-15,23,Quarterly,Premium,1217,1,0,10,246,24.6,26,0,0,0,0.102,1,price
148,2023-05-22,2025-11-15,30,Monthly,Basic,325,0,0,6,259,43.2,22,0,0,0,0.112,0,
149,2021-02-17,2025-11-15,57,Annual,Standard,589,1,0,8,97,12.1,23,0,0,1,0.416,1,poor_support
150,2022-04-08,2025-11-15,43,Monthly,Premium,1267,1,0,12,509,42.4,9,0,0,0,0.127,0,
151,2025-05-31,2025-11-15,5,Annual,Basic,318,1,0,6,94,15.7,6,0,0,0,0.056,0,
152,2022-01-27,2025-11-15,46,Monthly,Basic,363,0,0,9,373,41.4,23,0,0,0,0.166,0,
153,2021-08-07,2025-11-15,52,Monthly,Basic,375,1,0,5,146,29.2,12,0,0,0,0.212,1,price
154,2023-04-28,2025-11-15,31,Monthly,Standard,634,1,0,3,59,19.7,6,0,0,0,0.206,0,
155,2025-10-19,2025-11-15,0,Quarterly,Basic,340,0,0,10,414,41.4,14,0,1,0,0.485,0,
156,2022-01-31,2025-11-15,46,Monthly,Basic,220,0,0,9,76,8.4,26,0,0,0,0.287,0,
157,2024-03-26,2025-11-15,19,Monthly,Standard,556,0,0,9,310,34.4,15,0,2,0,0.175,0,
158,2024-09-05,2025-11-15,14,Monthly,Standard,667,1,0,9,258,28.7,1,0,0,0,0.064,0,
159,2022-01-23,2025-11-15,46,Annual,Basic,413,1,0,14,282,20.1,0,0,1,0,0.16,0,
160,2024-07-06,2025-11-15,16,Quarterly,Basic,145,0,0,7,185,26.4,26,0,1,0,0.208,0,
161,2022-09-18,2025-11-15,38,Monthly,Standard,555,1,0,4,142,35.5,10,0,0,0,0.165,0,
162,2024-01-13,2025-11-15,22,Quarterly,Premium,1201,0,1,10,96,9.6,19,0,1,1,0.355,0,
163,2024-01-16,2025-11-15,22,Monthly,Standard,530,1,0,10,155,15.5,1,0,0,0,0.167,0,
164,2023-07-21,2025-11-15,28,Monthly,Standard,535,1,0,7,141,20.1,11,0,1,0,0.07,0,
165,2021-04-29,2025-11-15,55,Annual,Basic,337,1,0,10,342,34.2,25,0,1,0,0.011,0,
166,2025-01-18,2025-11-15,10,Monthly,Basic,426,1,0,6,246,41.0,8,0,0,0,0.209,1,payment_issues
167,2022-06-24,2025-11-15,41,Monthly,Standard,438,0,0,12,507,42.2,5,0,1,0,0.269,0,
168,2021-10-22,2025-11-15,49,Monthly,Standard,587,0,0,6,121,20.2,23,0,0,0,0.318,0,
169,2021-01-29,2025-11-15,58,Monthly,Standard,637,1,0,13,303,23.3,20,0,2,0,0.117,0,
170,2023-10-30,2025-11-15,24,Monthly,Standard,662,0,0,7,289,41.3,9,0,1,0,0.172,0,
171,2024-04-05,2025-11-15,19,Monthly,Premium,1225,1,0,13,94,7.2,27,0,0,0,0.067,0,
172,2020-12-16,2025-11-15,59,Monthly,Basic,440,1,0,8,274,34.2,26,0,2,0,0.118,0,
173,2023-06-08,2025-11-15,29,Monthly,Basic,302,1,0,13,374,28.8,21,0,0,0,0.13,0,
174,2022-01-03,2025-11-15,47,Monthly,Basic,404,1,0,9,110,12.2,14,0,0,0,0.081,0,
175,2024-02-06,2025-11-15,21,Monthly,Basic,249,1,0,7,259,37.0,26,0,1,0,0.106,0,
176,2021-09-30,2025-11-15,50,Monthly,Basic,304,1,0,5,40,8.0,22,0,0,0,0.198,0,
177,2024-04-29,2025-11-15,18,Quarterly,Premium,1103,1,0,14,140,10.0,2,0,1,0,0.133,0,
178,2022-10-22,2025-11-15,37,Monthly,Basic,372,1,0,8,215,26.9,9,0,1,0,0.146,0,
179,2025-07-22,2025-11-15,3,Quarterly,Basic,291,1,0,8,138,17.2,20,0,0,1,0.367,0,
180,2021-07-24,2025-11-15,52,Quarterly,Basic,328,1,1,8,74,9.2,25,0,0,0,0.031,0,
181,2022-07-31,2025-11-15,40,Quarterly,Premium,1175,1,0,12,395,32.9,5,0,0,0,0.141,0,
182,2021-06-11,2025-11-15,53,Monthly,Standard,646,1,0,3,34,11.3,5,0,0,0,0.083,0,
183,2025-06-30,2025-11-15,4,Monthly,Premium,1231,1,0,11,486,44.2,19,0,0,0,0.112,0,
184,2025-04-05,2025-11-15,7,Monthly,Premium,1121,0,0,14,595,42.5,18,0,0,0,0.292,1,lack_of_value
185,2022-03-01,2025-11-15,45,Quarterly,Standard,526,0,1,6,127,21.2,19,0,0,0,0.167,0,
186,2024-03-04,2025-11-15,20,Monthly,Basic,298,0,0,6,209,34.8,24,0,0,0,0.305,0,
187,2024-12-16,2025-11-15,11,Quarterly,Basic,352,1,0,5,186,37.2,26,0,1,0,0.01,0,
188,2023-08-26,2025-11-15,27,Annual,Basic,449,1,0,12,328,27.3,11,0,0,0,0.01,0,
189,2023-07-10,2025-11-15,28,Monthly,Standard,624,1,1,7,261,37.3,4,0,0,0,0.056,0,
190,2022-01-31,2025-11-15,46,Monthly,Basic,380,1,0,7,257,36.7,21,0,1,0,0.162,0,
191,2021-05-04,2025-11-15,55,Quarterly,Basic,171,1,0,10,445,44.5,17,0,0,1,0.38,0,
192,2025-05-11,2025-11-15,6,Monthly,Standard,761,1,0,10,165,16.5,5,0,1,0,0.031,0,
193,2025-05-17,2025-11-15,6,Monthly,Standard,648,1,0,10,400,40.0,18,0,0,0,0.024,0,
194,2024-01-15,2025-11-15,22,Annual,Standard,597,1,0,11,349,31.7,20,0,2,0,0.01,0,
195,2022-07-27,2025-11-15,40,Monthly,Basic,287,1,1,12,143,11.9,23,0,0,0,0.112,0,
196,2022-08-15,2025-11-15,39,Annual,Standard,512,1,0,9,102,11.3,19,0,0,0,0.094,0,
197,2024-07-02,2025-11-15,16,Quarterly,Standard,535,1,0,8,291,36.4,24,0,0,0,0.064,0,
198,2025-05-11,2025-11-15,6,Quarterly,Basic,452,1,0,13,277,21.3,13,0,0,0,0.085,0,
199,2025-04-22,2025-11-15,6,Monthly,Standard,521,1,0,9,360,40.0,9,0,0,0,0.012,0,
200,2024-10-09,2025-11-15,13,Monthly,Premium,1120,1,0,12,306,25.5,6,0,1,0,0.141,0,
201,2024-01-31,2025-11-15,21,Monthly,Basic,244,1,0,8,138,17.2,1,0,0,0,0.044,1,poor_support
202,2021-04-18,2025-11-15,55,Monthly,Basic,205,1,0,10,391,39.1,25,0,1,0,0.145,0,
203,2021-09-06,2025-11-15,51,Monthly,Standard,601,0,0,5,207,41.4,20,0,0,0,0.293,0,
204,2025-05-13,2025-11-15,6,Monthly,Basic,387,0,0,13,312,24.0,10,0,1,0,0.167,0,
205,2023-11-27,2025-11-15,23,Monthly,Premium,1152,0,1,19,467,24.6,17,0,0,0,0.26,1,found_alternative
206,2020-12-02,2025-11-15,60,Monthly,Basic,191,0,0,7,291,41.6,14,0,2,0,0.32,1,poor_support
207,2021-05-20,2025-11-15,54,Quarterly,Standard,623,1,0,11,204,18.5,10,0,0,0,0.117,1,payment_issues
208,2024-03-10,2025-11-15,20,Monthly,Standard,596,0,1,6,182,30.3,28,0,1,0,0.173,0,
209,2020-11-25,2025-11-15,60,Monthly,Standard,680,1,0,4,26,6.5,6,0,1,0,0.184,0,
210,2021-09-05,2025-11-15,51,Quarterly,Basic,264,0,0,6,269,44.8,22,0,0,0,0.22,1,payment_issues
211,2023-08-14,2025-11-15,27,Annual,Basic,280,1,0,4,41,10.2,4,0,0,1,0.374,0,
212,2024-05-01,2025-11-15,18,Monthly,Basic,289,0,0,13,157,12.1,3,0,0,0,0.177,0,
213,2024-02-18,2025-11-15,21,Monthly,Basic,307,1,0,3,33,11.0,23,0,0,0,0.099,0,
214,2021-12-30,2025-11-15,47,Monthly,Basic,269,1,0,11,75,6.8,2,0,0,0,0.076,0,
215,2024-06-07,2025-11-15,17,Annual,Standard,556,1,0,8,288,36.0,17,0,1,0,0.038,0,
216,2022-01-22,2025-11-15,46,Quarterly,Basic,152,1,0,7,161,23.0,29,0,1,1,0.417,0,
217,2022-07-02,2025-11-15,41,Quarterly,Standard,555,0,1,2,47,23.5,29,0,1,0,0.147,0,
218,2024-08-09,2025-11-15,15,Monthly,Standard,657,1,0,4,175,43.8,1,0,1,0,0.218,0,
219,2024-02-14,2025-11-15,21,Monthly,Standard,668,1,0,11,151,13.7,21,0,0,0,0.163,1,other
220,2025-02-12,2025-11-15,9,Monthly,Premium,1163,1,0,11,79,7.2,17,0,1,0,0.198,1,poor_support
221,2024-02-29,2025-11-15,20,Quarterly,Basic,403,0,1,12,351,29.2,14,0,1,0,0.091,0,
222,2023-09-19,2025-11-15,26,Quarterly,Premium,1198,0,0,14,316,22.6,28,0,0,0,0.056,0,
223,2021-05-05,2025-11-15,55,Annual,Standard,493,1,0,11,143,13.0,1,0,0,0,0.087,0,
224,2022-09-18,2025-11-15,38,Monthly,Standard,468,1,1,9,215,23.9,15,0,0,0,0.089,0,
225,2022-03-14,2025-11-15,44,Monthly,Standard,697,0,0,8,100,12.5,10,0,1,0,0.186,0,
226,2022-02-04,2025-11-15,46,Monthly,Standard,571,1,1,10,432,43.2,19,0,0,0,0.105,0,
227,2025-09-26,2025-11-15,1,Quarterly,Basic,203,0,0,4,163,40.8,6,0,0,0,0.417,0,
228,2022-11-03,2025-11-15,36,Quarterly,Basic,120,0,1,6,155,25.8,4,0,0,1,0.49,1,poor_support
229,2025-05-01,2025-11-15,6,Monthly,Standard,569,1,0,12,275,22.9,17,0,1,0,0.056,0,
230,2024-01-11,2025-11-15,22,Monthly,Premium,1232,1,0,11,178,16.2,22,0,0,0,0.228,0,
231,2024-11-05,2025-11-15,12,Monthly,Standard,545,1,0,6,203,33.8,24,0,0,0,0.23,0,
232,2023-05-22,2025-11-15,30,Monthly,Basic,216,1,0,12,126,10.5,17,0,0,0,0.098,0,
233,2023-10-04,2025-11-15,25,Annual,Standard,557,1,0,6,207,34.5,16,0,0,0,0.01,0,
234,2023-05-03,2025-11-15,30,Monthly,Standard,699,1,0,11,255,23.2,21,0,2,0,0.068,0,
235,2021-11-07,2025-11-15,48,Quarterly,Basic,189,1,0,8,220,27.5,11,0,1,0,0.09,0,
236,2024-06-26,2025-11-15,16,Monthly,Basic,249,1,0,10,325,32.5,21,0,0,0,0.085,0,
237,2022-04-12,2025-11-15,43,Quarterly,Basic,396,1,0,3,102,34.0,23,0,0,0,0.091,0,
238,2020-12-30,2025-11-15,59,Monthly,Premium,1239,0,0,16,515,32.2,10,0,1,0,0.257,0,
239,2024-02-06,2025-11-15,21,Quarterly,Standard,614,1,0,10,173,17.3,4,0,0,0,0.071,0,
240,2021-10-05,2025-11-15,50,Monthly,Basic,249,1,0,7,76,10.9,13,0,0,0,0.239,0,
241,2025-07-29,2025-11-15,3,Monthly,Basic,302,1,0,11,186,16.9,17,0,0,0,0.031,0,
